序号,汉字,发音,首字母,笔画数,几级字,多音数
1970,臭,chòu|xiù,C,10,1,2
1971,射,shè,S,10,1,
1972,躬,gōng,G,10,1,
1973,息,xī,X,10,1,
1974,倔,jué|juè,J,10,1,2
1975,徒,tú,T,10,1,
1976,徐,xú,X,10,1,
1977,殷,yān|yīn,Y,10,1,2
1978,舰,jiàn,J,10,1,
1979,舱,cāng,C,10,1,
1980,般,bān,B,10,1,
1981,航,háng,H,10,1,
1982,途,tú,T,10,1,
1983,拿,ná,N,10,1,
1984,耸,sǒng,S,10,1,
1985,爹,diē,D,10,1,
1986,舀,yǎo,Y,10,1,
1987,爱,ài,À,10,1,
1988,豺,chái,C,10,1,
1989,豹,bào,B,10,1,
1990,颁,bān,B,10,1,
1991,颂,sòng,S,10,1,
1992,翁,wēng,W,10,1,
1993,胰,yí,Y,10,1,
1994,脆,cuì,C,10,1,
1995,脂,zhī,Z,10,1,
1996,胸,xiōng,X,10,1,
1997,胳,gē|gé,G,10,1,2
1998,脏,zāng|zàng,Z,10,1,2
1999,脐,qí,Q,10,1,
2000,胶,jiāo,J,10,1,
2001,脑,nǎo,N,10,1,
2002,脓,nóng,N,10,1,
2003,逛,guàng,G,10,1,
2004,狸,lí,L,10,1,
2005,狼,láng,L,10,1,
2006,卿,qīng,Q,10,1,
2007,逢,féng,F,10,1,
2008,鸵,tuó,T,10,1,
2009,留,liú,L,10,1,
2010,鸳,yuān,Y,10,1,
2011,皱,zhòu,Z,10,1,
2012,饿,è,È,10,1,
2013,馁,něi,N,10,1,
2014,凌,líng,L,10,1,
2015,凄,qī,Q,10,1,
2016,恋,liàn,L,10,1,
2017,桨,jiǎng,J,10,1,
2018,浆,jiāng|jiàng,J,10,1,2
2019,衰,shuāi,S,10,1,
2020,衷,zhōng,Z,10,1,
2021,高,gāo,G,10,1,
2022,郭,guō,G,10,1,
2023,席,xí,X,10,1,
2024,准,zhǔn,Z,10,1,
2025,座,zuò,Z,10,1,
2026,症,zhēng|zhèng,Z,10,1,2
2027,病,bìng,B,10,1,
2028,疾,jí,J,10,1,
2029,斋,zhāi,Z,10,1,
2030,疹,zhěn,Z,10,1,
2031,疼,téng,T,10,1,
2032,疲,pí,P,10,1,
2033,脊,jǐ,J,10,1,
2034,效,xiào,X,10,1,
2035,离,lí,L,10,1,
2036,紊,wěn,W,10,1,
2037,唐,táng,T,10,1,
2038,瓷,cí,C,10,1,
2039,资,zī,Z,10,1,
2040,凉,liáng|liàng,L,10,1,2
2041,站,zhàn,Z,10,1,
2042,剖,pōu,P,10,1,
2043,竞,jìng,J,10,1,
2044,部,bù,B,10,1,
2045,旁,páng,P,10,1,
2046,旅,lǚ,L,10,1,
2047,畜,chù|xù,C,10,1,2
2048,阅,yuè,Y,10,1,
2049,羞,xiū,X,10,1,
2050,羔,gāo,G,10,1,
2051,瓶,píng,P,10,1,
2052,拳,quán,Q,10,1,
2053,粉,fěn,F,10,1,
2054,料,liào,L,10,1,
2055,益,yì,Y,10,1,
2056,兼,jiān,J,10,1,
2057,烤,kǎo,K,10,1,
2058,烘,hōng,H,10,1,
2059,烦,fán,F,10,1,
2060,烧,shāo,S,10,1,
2061,烛,zhú,Z,10,1,
2062,烟,yān,Y,10,1,
2063,烙,lào|luò,L,10,1,2
2064,递,dì,D,10,1,
2065,涛,tāo,T,10,1,
2066,浙,zhè,Z,10,1,
2067,涝,lào,L,10,1,
2068,浦,pǔ,P,10,1,
2069,酒,jiǔ,J,10,1,
2070,涉,shè,S,10,1,
2071,消,xiāo,X,10,1,
2072,涡,guō|wō,G,10,1,2
2073,浩,hào,H,10,1,
2074,海,hǎi,H,10,1,
2075,涂,tú,T,10,1,
2076,浴,yù,Y,10,1,
2077,浮,fú,F,10,1,
2078,涣,huàn,H,10,1,
2079,涤,dí,D,10,1,
2080,流,liú,L,10,1,
2081,润,rùn,R,10,1,
2082,涧,jiàn,J,10,1,
2083,涕,tì,T,10,1,
2084,浪,làng,L,10,1,
2085,浸,jìn,J,10,1,
2086,涨,zhǎng|zhàng,Z,10,1,2
2087,烫,tàng,T,10,1,
2088,涩,sè,S,10,1,
2089,涌,chōng|yǒng,C,10,1,2
2090,悖,bèi,B,10,1,
2091,悟,wù,W,10,1,
2092,悄,qiāo|qiǎo,Q,10,1,2
2093,悍,hàn,H,10,1,
2094,悔,huǐ,H,10,1,
2095,悯,mǐn,M,10,1,
2096,悦,yuè,Y,10,1,
2097,害,hài,H,10,1,
2098,宽,kuān,K,10,1,
2099,家,jiā|jia,J,10,1,2
2100,宵,xiāo,X,10,1,
2101,宴,yàn,Y,10,1,
2102,宾,bīn,B,10,1,
2103,窍,qiào,Q,10,1,
2104,窄,zhǎi,Z,10,1,
2105,容,róng,R,10,1,
2106,宰,zǎi,Z,10,1,
2107,案,àn,À,10,1,
2108,请,qǐng,Q,10,1,
2109,朗,lǎng,L,10,1,
2110,诸,zhū,Z,10,1,
2111,诺,nuò,N,10,1,
2112,读,dòu|dú,D,10,1,2
2113,扇,shān|shàn,S,10,1,2
2114,诽,fěi,F,10,1,
2115,袜,wà,W,10,1,
2116,袖,xiù,X,10,1,
2117,袍,páo,P,10,1,
2118,被,bèi,B,10,1,
2119,祥,xiáng,X,10,1,
2120,课,kè,K,10,1,
2121,冥,míng,M,10,1,
2122,谁,shéi|shuí,S,10,1,2
2123,调,diào|tiáo,D,10,1,2
2124,冤,yuān,Y,10,1,
2125,谅,liàng,L,10,1,
2126,谆,zhūn,Z,10,1,
2127,谈,tán,T,10,1,
2128,谊,yì,Y,10,1,
2129,剥,bāo|bō,B,10,1,2
2130,恳,kěn,K,10,1,
2131,展,zhǎn,Z,10,1,
2132,剧,jù,J,10,1,
2133,屑,xiè,X,10,1,
2134,弱,ruò,R,10,1,
2135,陵,líng,L,10,1,
2136,祟,suì,S,10,1,
2137,陶,táo,T,10,1,
2138,陷,xiàn,X,10,1,
2139,陪,péi,P,10,1,
2140,娱,yú,Y,10,1,
2141,娟,juān,J,10,1,
2142,恕,shù,S,10,1,
2143,娥,é,É,10,1,
2144,娘,niáng,N,10,1,
2145,通,tōng|tòng,T,10,1,2
2146,能,néng,N,10,1,
2147,难,nán|nàn,N,10,1,2
2148,预,yù,Y,10,1,
2149,桑,sāng,S,10,1,
2150,绢,juàn,J,10,1,
2151,绣,xiù,X,10,1,
2152,验,yàn,Y,10,1,
2153,继,jì,J,10,1,
2154,骏,jùn,J,10,1,
2155,球,qiú,Q,11,1,
2156,琐,suǒ,S,11,1,
2157,理,lǐ,L,11,1,
2158,琉,liú,L,11,1,
2159,琅,láng,L,11,1,
2160,捧,pěng,P,11,1,
2161,堵,dǔ,D,11,1,
2162,措,cuò,C,11,1,
2163,描,miáo,M,11,1,
2164,域,yù,Y,11,1,
2165,捺,nà,N,11,1,
2166,掩,yǎn,Y,11,1,
2167,捷,jié,J,11,1,
2168,排,pái|pǎi,P,11,1,2
2169,焉,yān,Y,11,1,
2170,掉,diào,D,11,1,
2171,捶,chuí,C,11,1,
2172,赦,shè,S,11,1,
2173,堆,duī,D,11,1,
2174,推,tuī,T,11,1,
2175,埠,bù,B,11,1,
2176,掀,xiān,X,11,1,
2177,授,shòu,S,11,1,
2178,捻,niǎn,N,11,1,
2179,教,jiāo|jiào,J,11,1,2
2180,掏,tāo,T,11,1,
2181,掐,qiā,Q,11,1,
2182,掠,lüè,L,11,1,
2183,掂,diān,D,11,1,
2184,培,péi,P,11,1,
2185,接,jiē,J,11,1,
2186,掷,zhì,Z,11,1,
2187,控,kòng,K,11,1,
2188,探,tàn,T,11,1,
2189,据,jū|jù,J,11,1,2
2190,掘,jué,J,11,1,
2191,掺,chān,C,11,1,
2192,职,zhí,Z,11,1,
2193,基,jī,J,11,1,
2194,聆,líng,L,11,1,
2195,勘,kān,K,11,1,
2196,聊,liáo,L,11,1,
2197,娶,qǔ,Q,11,1,
2198,著,zhù|zhuó,Z,11,1,2
2199,菱,líng,L,11,1,
2200,勒,lè|lēi,L,11,1,2
2201,黄,huáng,H,11,1,
2202,菲,fēi|fěi,F,11,1,2
2203,萌,méng,M,11,1,
2204,萝,luó,L,11,1,
2205,菌,jūn|jùn,J,11,1,2
2206,萎,wěi,W,11,1,
2207,菜,cài,C,11,1,
2208,萄,táo,T,11,1,
2209,菊,jú,J,11,1,
2210,菩,pú,P,11,1,
2211,萍,píng,P,11,1,
2212,菠,bō,B,11,1,
2213,萤,yíng,Y,11,1,
2214,营,yíng,Y,11,1,
2215,乾,qián,Q,11,1,
2216,萧,xiāo,X,11,1,
2217,萨,sà,S,11,1,
2218,菇,gū,G,11,1,
2219,械,xiè,X,11,1,
2220,彬,bīn,B,11,1,
2221,梦,mèng,M,11,1,
2222,婪,lán,L,11,1,
2223,梗,gěng,G,11,1,
2224,梧,wú,W,11,1,
2225,梢,shāo,S,11,1,
2226,梅,méi,M,11,1,
2227,检,jiǎn,J,11,1,
2228,梳,shū,S,11,1,
2229,梯,tī,T,11,1,
2230,桶,tǒng,T,11,1,
2231,梭,suō,S,11,1,
2232,救,jiù,J,11,1,
2233,曹,cáo,C,11,1,
2234,副,fù,F,11,1,
2235,票,piào,P,11,1,
2236,酝,yùn,Y,11,1,
2237,酗,xù,X,11,1,
2238,厢,xiāng,X,11,1,
2239,戚,qī,Q,11,1,
2240,硅,guī,G,11,1,
2241,硕,shuò,S,11,1,
2242,奢,shē,S,11,1,
2243,盔,kuī,K,11,1,
2244,爽,shuǎng,S,11,1,
2245,聋,lóng,L,11,1,
2246,袭,xí,X,11,1,
2247,盛,chéng|shèng,C,11,1,2
2248,匾,biǎn,B,11,1,
2249,雪,xuě,X,11,1,
2250,辅,fǔ,F,11,1,
2251,辆,liàng,L,11,1,
2252,颅,lú,L,11,1,
2253,虚,xū,X,11,1,
2254,彪,biāo,B,11,1,
2255,雀,qiāo|qiǎo|què,Q,11,1,3
2256,堂,táng,T,11,1,
2257,常,cháng,C,11,1,
2258,眶,kuàng,K,11,1,
2259,匙,chí|shi,C,11,1,2
2260,晨,chén,C,11,1,
2261,睁,zhēng,Z,11,1,
2262,眯,mī|mí,M,11,1,2
2263,眼,yǎn,Y,11,1,
2264,悬,xuán,X,11,1,
2265,野,yě,Y,11,1,
2266,啪,pā,P,11,1,
2267,啦,lā|la,L,11,1,2
2268,曼,màn,M,11,1,
2269,晦,huì,H,11,1,
2270,晚,wǎn,W,11,1,
2271,啄,zhuó,Z,11,1,
2272,啡,fēi,F,11,1,
2273,距,jù,J,11,1,
2274,趾,zhǐ,Z,11,1,
2275,啃,kěn,K,11,1,
2276,跃,yuè,Y,11,1,
2277,略,lüè,L,11,1,
2278,蚯,qiū,Q,11,1,
2279,蛀,zhù,Z,11,1,
2280,蛇,shé,S,11,1,
2281,唬,hǔ,H,11,1,
2282,累,léi|lěi|lèi,L,11,1,3
2283,鄂,è,È,11,1,
2284,唱,chàng,C,11,1,
2285,患,huàn,H,11,1,
2286,啰,luō|luó|luo,L,11,1,3
2287,唾,tuò,T,11,1,
2288,唯,wéi,W,11,1,
2289,啤,pí,P,11,1,
2290,啥,shá,S,11,1,
2291,啸,xiào,X,11,1,
2292,崖,yá,Y,11,1,
2293,崎,qí,Q,11,1,
2294,崭,zhǎn,Z,11,1,
2295,逻,luó,L,11,1,
2296,崔,cuī,C,11,1,
2297,帷,wéi,W,11,1,
2298,崩,bēng,B,11,1,
2299,崇,chóng,C,11,1,
2300,崛,jué,J,11,1,
2301,婴,yīng,Y,11,1,
2302,圈,juān|juàn|quān,J,11,1,3
2303,铐,kào,K,11,1,
2304,铛,chēng|dāng,C,11,1,2
2305,铝,lǚ,L,11,1,
2306,铜,tóng,T,11,1,
2307,铭,míng,M,11,1,
2308,铲,chǎn,C,11,1,
2309,银,yín,Y,11,1,
2310,矫,jiáo|jiǎo,J,11,1,2
2311,甜,tián,T,11,1,
2312,秸,jiē,J,11,1,
2313,梨,lí,L,11,1,
2314,犁,lí,L,11,1,
2315,秽,huì,H,11,1,
2316,移,yí,Y,11,1,
2317,笨,bèn,B,11,1,
2318,笼,lóng|lǒng,L,11,1,2
2319,笛,dí,D,11,1,
2320,笙,shēng,S,11,1,
2321,符,fú,F,11,1,
2322,第,dì,D,11,1,
2323,敏,mǐn,M,11,1,
2324,做,zuò,Z,11,1,
2325,袋,dài,D,11,1,
2326,悠,yōu,Y,11,1,
2327,偿,cháng,C,11,1,
2328,偶,ǒu,Ǒ,11,1,
2329,偎,wēi,W,11,1,
2330,偷,tōu,T,11,1,
2331,您,nín,N,11,1,
2332,售,shòu,S,11,1,
2333,停,tíng,T,11,1,
2334,偏,piān,P,11,1,
2335,躯,qū,Q,11,1,
2336,兜,dōu,D,11,1,
2337,假,jiǎ|jià,J,11,1,2
2338,衅,xìn,X,11,1,
2339,徘,pái,P,11,1,
2340,徙,xǐ,X,11,1,
2341,得,dé|de|děi,D,11,1,3
2342,衔,xián,X,11,1,
2343,盘,pán,P,11,1,
2344,舶,bó,B,11,1,
2345,船,chuán,C,11,1,
2346,舵,duò,D,11,1,
2347,斜,xié,X,11,1,
2348,盒,hé,H,11,1,
2349,鸽,gē,G,11,1,
2350,敛,liǎn,L,11,1,
2351,悉,xī,X,11,1,
2352,欲,yù,Y,11,1,
2353,彩,cǎi,C,11,1,
2354,领,lǐng,L,11,1,
2355,脚,jiǎo,J,11,1,
2356,脖,bó,B,11,1,
2357,脯,fǔ|pú,F,11,1,2
2358,豚,tún,T,11,1,
2359,脸,liǎn,L,11,1,
2360,脱,tuō,T,11,1,
2361,象,xiàng,X,11,1,
2362,够,gòu,G,11,1,
2363,逸,yì,Y,11,1,
2364,猜,cāi,C,11,1,
2365,猪,zhū,Z,11,1,
2366,猎,liè,L,11,1,
2367,猫,māo,M,11,1,
2368,凰,huáng,H,11,1,
2369,猖,chāng,C,11,1,
2370,猛,měng,M,11,1,
2371,祭,jì|zhài,J,11,1,2
2372,馅,xiàn,X,11,1,
2373,馆,guǎn,G,11,1,
2374,凑,còu,C,11,1,
2375,减,jiǎn,J,11,1,
2376,毫,háo,H,11,1,
2377,烹,pēng,P,11,1,
2378,庶,shù,S,11,1,
2379,麻,má,M,11,1,
2380,庵,ān,Ā,11,1,
2381,痊,quán,Q,11,1,
2382,痒,yǎng,Y,11,1,
2383,痕,hén,H,11,1,
2384,廊,láng,L,11,1,
2385,康,kāng,K,11,1,
2386,庸,yōng,Y,11,1,
2387,鹿,lù,L,11,1,
2388,盗,dào,D,11,1,
2389,章,zhāng,Z,11,1,
2390,竟,jìng,J,11,1,
2391,商,shāng,S,11,1,
2392,族,zú,Z,11,1,
2393,旋,xuán|xuàn,X,11,1,2
2394,望,wàng,W,11,1,
2395,率,lǜ|shuài,L,11,1,2
2396,阎,yán,Y,11,1,
2397,阐,chǎn,C,11,1,
2398,着,zhāo|zháo|zhe|zhuó,Z,11,1,4
2399,羚,líng,L,11,1,
2400,盖,gài|gě,G,11,1,2
2401,眷,juàn,J,11,1,
2402,粘,nián|zhān,N,11,1,2
2403,粗,cū,C,11,1,
2404,粒,lì,L,11,1,
2405,断,duàn,D,11,1,
2406,剪,jiǎn,J,11,1,
2407,兽,shòu,S,11,1,
2408,焊,hàn,H,11,1,
2409,焕,huàn,H,11,1,
2410,清,qīng,Q,11,1,
2411,添,tiān,T,11,1,
2412,鸿,hóng,H,11,1,
2413,淋,lín|lìn,L,11,1,2
2414,涯,yá,Y,11,1,
2415,淹,yān,Y,11,1,
2416,渠,qú,Q,11,1,
2417,渐,jiàn,J,11,1,
2418,淑,shū,S,11,1,
2419,淌,tǎng,T,11,1,
2420,混,hùn,H,11,1,
2421,淮,huái,H,11,1,
2422,淆,xiáo,X,11,1,
2423,渊,yuān,Y,11,1,
2424,淫,yín,Y,11,1,
2425,渔,yú,Y,11,1,
2426,淘,táo,T,11,1,
2427,淳,chún,C,11,1,
2428,液,yè,Y,11,1,
2429,淤,yū,Y,11,1,
2430,淡,dàn,D,11,1,
2431,淀,diàn,D,11,1,
2432,深,shēn,S,11,1,
2433,涮,shuàn,S,11,1,
2434,涵,hán,H,11,1,
2435,婆,pó,P,11,1,
2436,梁,liáng,L,11,1,
2437,渗,shèn,S,11,1,
2438,情,qíng,Q,11,1,
2439,惜,xī,X,11,1,
2440,惭,cán,C,11,1,
2441,悼,dào,D,11,1,
2442,惧,jù,J,11,1,
2443,惕,tì,T,11,1,
2444,惟,wéi,W,11,1,
2445,惊,jīng,J,11,1,
2446,惦,diàn,D,11,1,
2447,悴,cuì,C,11,1,
2448,惋,wǎn,W,11,1,
2449,惨,cǎn,C,11,1,
2450,惯,guàn,G,11,1,
2451,寇,kòu,K,11,1,
2452,寅,yín,Y,11,1,
2453,寄,jì,J,11,1,
2454,寂,jì,J,11,1,
2455,宿,sù|xiǔ|xiù,S,11,1,3
2456,窒,zhì,Z,11,1,
2457,窑,yáo,Y,11,1,
2458,密,mì,M,11,1,
2459,谋,móu,M,11,1,
2460,谍,dié,D,11,1,
2461,谎,huǎng,H,11,1,
2462,谐,xié,X,11,1,
2463,袱,fú,F,11,1,
2464,祷,dǎo,D,11,1,
2465,祸,huò,H,11,1,
2466,谓,wèi,W,11,1,
2467,谚,yàn,Y,11,1,
2468,谜,mí,M,11,1,
2469,逮,dǎi|dài,D,11,1,2
2470,敢,gǎn,G,11,1,
2471,尉,wèi|yù,W,11,1,2
2472,屠,tú,T,11,1,
2473,弹,dàn|tán,D,11,1,2
2474,隋,suí,S,11,1,
2475,堕,duò,D,11,1,
2476,随,suí,S,11,1,
2477,蛋,dàn,D,11,1,
2478,隅,yú,Y,11,1,
2479,隆,lóng,L,11,1,
2480,隐,yǐn,Y,11,1,
2481,婚,hūn,H,11,1,
2482,婶,shěn,S,11,1,
2483,婉,wǎn,W,11,1,
2484,颇,pō,P,11,1,
2485,颈,gěng|jǐng,G,11,1,2
2486,绩,jì,J,11,1,
2487,绪,xù,X,11,1,
2488,续,xù,X,11,1,
2489,骑,qí,Q,11,1,
2490,绰,chāo|chuò,C,11,1,2
2491,绳,shéng,S,11,1,
2492,维,wéi,W,11,1,
2493,绵,mián,M,11,1,
2494,绷,bēng|běng|bèng,B,11,1,3
2495,绸,chóu,C,11,1,
2496,综,zèng|zōng,Z,11,1,2
2497,绽,zhàn,Z,11,1,
2498,绿,lù|lǜ,L,11,1,2
2499,缀,zhuì,Z,11,1,
2500,巢,cháo,C,11,1,
2501,琴,qín,Q,12,1,
2502,琳,lín,L,12,1,
2503,琢,zhuó|zuó,Z,12,1,2
2504,琼,qióng,Q,12,1,
2505,斑,bān,B,12,1,
2506,替,tì,T,12,1,
2507,揍,zòu,Z,12,1,
2508,款,kuǎn,K,12,1,
2509,堪,kān,K,12,1,
2510,塔,tǎ,T,12,1,
2511,搭,dā,D,12,1,
2512,堰,yàn,Y,12,1,
2513,揩,kāi,K,12,1,
2514,越,yuè,Y,12,1,
2515,趁,chèn,C,12,1,
2516,趋,qū,Q,12,1,
2517,超,chāo,C,12,1,
2518,揽,lǎn,L,12,1,
2519,堤,dī,D,12,1,
2520,提,dī|tí,D,12,1,2
2521,博,bó,B,12,1,
2522,揭,jiē,J,12,1,
2523,喜,xǐ,X,12,1,
2524,彭,péng,P,12,1,
2525,揣,chuāi|chuǎi|chuài,C,12,1,3
2526,插,chā,C,12,1,
2527,揪,jiū,J,12,1,
2528,搜,sōu,S,12,1,
2529,煮,zhǔ,Z,12,1,
2530,援,yuán,Y,12,1,
2531,搀,chān,C,12,1,
2532,裁,cái,C,12,1,
2533,搁,gē|gé,G,12,1,2
2534,搓,cuō,C,12,1,
2535,搂,lōu|lǒu,L,12,1,2
2536,搅,jiǎo,J,12,1,
2537,壹,yī,Y,12,1,
2538,握,wò,W,12,1,
2539,搔,sāo,S,12,1,
2540,揉,róu,R,12,1,
2541,斯,sī,S,12,1,
2542,期,jī|qī,J,12,1,2
2543,欺,qī,Q,12,1,
2544,联,lián,L,12,1,
2545,葫,hú,H,12,1,
2546,散,sǎn|sàn,S,12,1,2
2547,惹,rě,R,12,1,
2548,葬,zàng,Z,12,1,
2549,募,mù,M,12,1,
2550,葛,gé|gě,G,12,1,2
2551,董,dǒng,D,12,1,
2552,葡,pú,P,12,1,
2553,敬,jìng,J,12,1,
2554,葱,cōng,C,12,1,
2555,蒋,jiǎng,J,12,1,
2556,蒂,dì,D,12,1,
2557,落,là|lào|luò,L,12,1,3
2558,韩,hán,H,12,1,
2559,朝,cháo|zhāo,C,12,1,2
2560,辜,gū,G,12,1,
2561,葵,kuí,K,12,1,
2562,棒,bàng,B,12,1,
2563,棱,lēng|léng|líng,L,12,1,3
2564,棋,qí,Q,12,1,
2565,椰,yē,Y,12,1,
2566,植,zhí,Z,12,1,
2567,森,sēn,S,12,1,
2568,焚,fén,F,12,1,
2569,椅,yī|yǐ,Y,12,1,2
2570,椒,jiāo,J,12,1,
2571,棵,kē,K,12,1,
2572,棍,gùn,G,12,1,
2573,椎,zhuī,Z,12,1,
2574,棉,mián,M,12,1,
2575,棚,péng,P,12,1,
2576,棕,zōng,Z,12,1,
2577,棺,guān,G,12,1,
2578,榔,láng,L,12,1,
2579,椭,tuǒ,T,12,1,
2580,惠,huì,H,12,1,
2581,惑,huò,H,12,1,
2582,逼,bī,B,12,1,
2583,粟,sù,S,12,1,
2584,棘,jí,J,12,1,
2585,酣,hān,H,12,1,
2586,酥,sū,S,12,1,
2587,厨,chú,C,12,1,
2588,厦,shà|xià,S,12,1,2
2589,硬,yìng,Y,12,1,
2590,硝,xiāo,X,12,1,
2591,确,què,Q,12,1,
2592,硫,liú,L,12,1,
2593,雁,yàn,Y,12,1,
2594,殖,shi|zhí,S,12,1,2
2595,裂,liè,L,12,1,
2596,雄,xióng,X,12,1,
2597,颊,jiá,J,12,1,
2598,雳,lì,L,12,1,
2599,暂,zàn,Z,12,1,
2600,雅,yǎ,Y,12,1,
2601,翘,qiáo|qiào,Q,12,1,2
2602,辈,bèi,B,12,1,
2603,悲,bēi,B,12,1,
2604,紫,zǐ,Z,12,1,
2605,凿,záo,Z,12,1,
2606,辉,huī,H,12,1,
2607,敞,chǎng,C,12,1,
2608,棠,táng,T,12,1,
2609,赏,shǎng,S,12,1,
2610,掌,zhǎng,Z,12,1,
2611,晴,qíng,Q,12,1,
2612,睐,lài,L,12,1,
2613,暑,shǔ,S,12,1,
2614,最,zuì,Z,12,1,
2615,晰,xī,X,12,1,
2616,量,liáng|liàng,L,12,1,2
2617,鼎,dǐng,D,12,1,
2618,喷,pēn|pèn,P,12,1,2
2619,喳,chā|zhā,C,12,1,2
2620,晶,jīng,J,12,1,
2621,喇,lǎ,L,12,1,
2622,遇,yù,Y,12,1,
2623,喊,hǎn,H,12,1,
2624,遏,è,È,12,1,
2625,晾,liàng,L,12,1,
2626,景,jǐng,J,12,1,
2627,畴,chóu,C,12,1,
2628,践,jiàn,J,12,1,
2629,跋,bá,B,12,1,
2630,跌,diē,D,12,1,
2631,跑,páo|pǎo,P,12,1,2
2632,跛,bǒ,B,12,1,
2633,遗,yí,Y,12,1,
2634,蛙,wā,W,12,1,
2635,蛛,zhū,Z,12,1,
2636,蜓,tíng,T,12,1,
2637,蜒,yán,Y,12,1,
2638,蛤,gé|há,G,12,1,2
2639,喝,hē|hè,H,12,1,2
2640,鹃,juān,J,12,1,
2641,喂,wèi,W,12,1,
2642,喘,chuǎn,C,12,1,
2643,喉,hóu,H,12,1,
2644,喻,yù,Y,12,1,
2645,啼,tí,T,12,1,
2646,喧,xuān,X,12,1,
2647,嵌,qiàn,Q,12,1,
2648,幅,fú,F,12,1,
2649,帽,mào,M,12,1,
2650,赋,fù,F,12,1,
2651,赌,dǔ,D,12,1,
2652,赎,shú,S,12,1,
2653,赐,cì,C,12,1,
2654,赔,péi,P,12,1,
2655,黑,hēi,H,12,1,
2656,铸,zhù,Z,12,1,
2657,铺,pū|pù,P,12,1,2
2658,链,liàn,L,12,1,
2659,销,xiāo,X,12,1,
2660,锁,suǒ,S,12,1,
2661,锄,chú,C,12,1,
2662,锅,guō,G,12,1,
2663,锈,xiù,X,12,1,
2664,锋,fēng,F,12,1,
2665,锌,xīn,X,12,1,
2666,锐,ruì,R,12,1,
2667,甥,shēng,S,12,1,
2668,掰,bāi,B,12,1,
2669,短,duǎn,D,12,1,
2670,智,zhì,Z,12,1,
2671,氮,dàn,D,12,1,
2672,毯,tǎn,T,12,1,
2673,氯,lǜ,L,12,1,
2674,鹅,é,É,12,1,
2675,剩,shèng,S,12,1,
2676,稍,shāo|shào,S,12,1,2
2677,程,chéng,C,12,1,
2678,稀,xī,X,12,1,
2679,税,shuì,S,12,1,
2680,筐,kuāng,K,12,1,
2681,等,děng,D,12,1,
2682,筑,zhù,Z,12,1,
2683,策,cè,C,12,1,
2684,筛,shāi,S,12,1,
2685,筒,tǒng,T,12,1,
2686,筏,fá,F,12,1,
2687,答,dā|dá,D,12,1,2
2688,筋,jīn,J,12,1,
2689,筝,zhēng,Z,12,1,
2690,傲,ào,À,12,1,
2691,傅,fù,F,12,1,
2692,牌,pái,P,12,1,
2693,堡,bǎo|bǔ|pù,B,12,1,3
2694,集,jí,J,12,1,
2695,焦,jiāo,J,12,1,
2696,傍,bàng,B,12,1,
2697,储,chǔ,C,12,1,
2698,皓,hào,H,12,1,
2699,皖,wǎn,W,12,1,
2700,粤,yuè,Y,12,1,
2701,奥,ào,À,12,1,
2702,街,jiē,J,12,1,
2703,惩,chéng,C,12,1,
2704,御,yù,Y,12,1,
2705,循,xún,X,12,1,
2706,艇,tǐng,T,12,1,
2707,舒,shū,S,12,1,
2708,逾,yú,Y,12,1,
2709,番,fān|pān,F,12,1,2
2710,释,shì,S,12,1,
2711,禽,qín,Q,12,1,
2712,腊,là,L,12,1,
2713,脾,pí,P,12,1,
2714,腋,yè,Y,12,1,
2715,腔,qiāng,Q,12,1,
2716,腕,wàn,W,12,1,
2717,鲁,lǔ,L,12,1,
2718,猩,xīng,X,12,1,
2719,猬,wèi,W,12,1,
2720,猾,huá,H,12,1,
2721,猴,hóu,H,12,1,
2722,惫,bèi,B,12,1,
2723,然,rán,R,12,1,
2724,馈,kuì,K,12,1,
2725,馋,chán,C,12,1,
2726,装,zhuāng,Z,12,1,
2727,蛮,mán,M,12,1,
2728,就,jiù,J,12,1,
2729,敦,dūn,D,12,1,
2730,斌,bīn,B,12,1,
2731,痘,dòu,D,12,1,
2732,痢,lì,L,12,1,
2733,痪,huàn,H,12,1,
2734,痛,tòng,T,12,1,
2735,童,tóng,T,12,1,
2736,竣,jùn,J,12,1,
2737,阔,kuò,K,12,1,
2738,善,shàn,S,12,1,
2739,翔,xiáng,X,12,1,
2740,羡,xiàn,X,12,1,
2741,普,pǔ,P,12,1,
2742,粪,fèn,F,12,1,
2743,尊,zūn,Z,12,1,
2744,奠,diàn,D,12,1,
2745,道,dào,D,12,1,
2746,遂,suí|suì,S,12,1,2
2747,曾,céng|zēng,C,12,1,2
2748,焰,yàn,Y,12,1,
2749,港,gǎng,G,12,1,
2750,滞,zhì,Z,12,1,
2751,湖,hú,H,12,1,
2752,湘,xiāng,X,12,1,
2753,渣,zhā,Z,12,1,
2754,渤,bó,B,12,1,
2755,渺,miǎo,M,12,1,
2756,湿,shī,S,12,1,
2757,温,wēn,W,12,1,
2758,渴,kě,K,12,1,
2759,溃,huì|kuì,H,12,1,2
2760,溅,jiàn,J,12,1,
2761,滑,huá,H,12,1,
2762,湃,pài,P,12,1,
2763,渝,yú,Y,12,1,
2764,湾,wān,W,12,1,
2765,渡,dù,D,12,1,
2766,游,yóu,Y,12,1,
2767,滋,zī,Z,12,1,
2768,渲,xuàn,X,12,1,
2769,溉,gài,G,12,1,
2770,愤,fèn,F,12,1,
2771,慌,huāng,H,12,1,
2772,惰,duò,D,12,1,
2773,愕,è,È,12,1,
