id,char,pinyin,initial,strokes,level,polyphonic
0001,一,yī,Y,1,1,False
0002,乙,yǐ,Y,1,1,False
0003,二,èr,È,2,1,False
0004,十,shí,S,2,1,False
0005,丁,dīng,D,2,1,False
0006,厂,chǎng,C,2,1,False
0007,七,qī,Q,2,1,False
0008,卜,bo|bǔ,B,2,1,True
0009,八,bā,B,2,1,False
0010,人,rén,R,2,1,False
0011,入,rù,R,2,1,False
0012,儿,ér,É,2,1,False
0013,匕,bǐ,B,2,1,False
0014,几,jī|jǐ,J,2,1,True
0015,九,jiǔ,J,2,1,False
0016,刁,diāo,D,2,1,False
0017,了,le|liǎo,L,2,1,True
0018,刀,dāo,D,2,1,False
0019,力,lì,L,2,1,False
0020,乃,nǎi,N,2,1,False
0021,又,yòu,Y,2,1,False
0022,三,sān,S,3,1,False
0023,干,gān|gàn,G,3,1,True
0024,于,yú,Y,3,1,False
0025,亏,kuī,K,3,1,False
0026,工,gōng,G,3,1,False
0027,土,tǔ,T,3,1,False
0028,士,shì,S,3,1,False
0029,才,cái,C,3,1,False
0030,下,xià,X,3,1,False
0031,寸,cùn,C,3,1,False
0032,大,dà|dài,D,3,1,True
0033,丈,zhàng,Z,3,1,False
0034,与,yǔ|yù,Y,3,1,True
0035,万,mò|wàn,M,3,1,True
0036,上,shǎng|shàng,S,3,1,True
0037,小,xiǎo,X,3,1,False
0038,口,kǒu,K,3,1,False
0039,山,shān,S,3,1,False
0040,巾,jīn,J,3,1,False
0041,千,qiān,Q,3,1,False
0042,乞,qǐ,Q,3,1,False
0043,川,chuān,C,3,1,False
0044,亿,yì,Y,3,1,False
0045,个,gě|gè,G,3,1,True
0046,夕,xī,X,3,1,False
0047,久,jiǔ,J,3,1,False
0048,么,me,M,3,1,False
0049,勺,sháo,S,3,1,False
0050,凡,fán,F,3,1,False
0051,丸,wán,W,3,1,False
0052,及,jí,J,3,1,False
0053,广,guǎng,G,3,1,False
0054,亡,wáng,W,3,1,False
0055,门,mén,M,3,1,False
0056,丫,yā,Y,3,1,False
0057,义,yì,Y,3,1,False
0058,之,zhī,Z,3,1,False
0059,尸,shī,S,3,1,False
0060,己,jǐ,J,3,1,False
0061,已,yǐ,Y,3,1,False
0062,巳,sì,S,3,1,False
0063,弓,gōng,G,3,1,False
0064,子,zǐ,Z,3,1,False
0065,卫,wèi,W,3,1,False
0066,也,yě,Y,3,1,False
0067,女,nǚ,N,3,1,False
0068,刃,rèn,R,3,1,False
0069,飞,fēi,F,3,1,False
0070,习,xí,X,3,1,False
0071,叉,chā|chá|chǎ|chà,C,3,1,True
0072,马,mǎ,M,3,1,False
0073,乡,xiāng,X,3,1,False
0074,丰,fēng,F,4,1,False
0075,王,wáng,W,4,1,False
0076,开,kāi,K,4,1,False
0077,井,jǐng,J,4,1,False
0078,天,tiān,T,4,1,False
0079,夫,fū,F,4,1,False
0080,元,yuán,Y,4,1,False
0081,无,mó|wú,M,4,1,True
0082,云,yún,Y,4,1,False
0083,专,zhuān,Z,4,1,False
0084,丐,gài,G,4,1,False
0085,扎,zā|zhā|zhá,Z,4,1,True
0086,艺,yì,Y,4,1,False
0087,木,mù,M,4,1,False
0088,五,wǔ,W,4,1,False
0089,支,zhī,Z,4,1,False
0090,厅,tīng,T,4,1,False
0091,不,bù,B,4,1,False
0092,犬,quǎn,Q,4,1,False
0093,太,tài,T,4,1,False
0094,区,ōu|qū,Ō,4,1,True
0095,历,lì,L,4,1,False
0096,歹,dǎi,D,4,1,False
0097,友,yǒu,Y,4,1,False
0098,尤,yóu,Y,4,1,False
0099,匹,pǐ,P,4,1,False
0100,车,chē|jū,C,4,1,True
0101,巨,jù,J,4,1,False
0102,牙,yá,Y,4,1,False
0103,屯,tún,T,4,1,False
0104,戈,gē,G,4,1,False
0105,比,bǐ,B,4,1,False
0106,互,hù,H,4,1,False
0107,切,qiē|qiè,Q,4,1,True
0108,瓦,wǎ|wà,W,4,1,True
0109,止,zhǐ,Z,4,1,False
0110,少,shǎo|shào,S,4,1,True
0111,曰,yuē,Y,4,1,False
0112,日,rì,R,4,1,False
0113,中,zhōng|zhòng,Z,4,1,True
0114,贝,bèi,B,4,1,False
0115,冈,gāng,G,4,1,False
0116,内,nèi,N,4,1,False
0117,水,shuǐ,S,4,1,False
0118,见,jiàn|xiàn,J,4,1,True
0119,午,wǔ,W,4,1,False
0120,牛,niú,N,4,1,False
0121,手,shǒu,S,4,1,False
0122,气,qì,Q,4,1,False
0123,毛,máo,M,4,1,False
0124,壬,rén,R,4,1,False
0125,升,shēng,S,4,1,False
0126,夭,yāo,Y,4,1,False
0127,长,cháng|zhǎng,C,4,1,True
0128,仁,rén,R,4,1,False
0129,什,shén|shí,S,4,1,True
0130,片,piān|piàn,P,4,1,True
0131,仆,pū|pú,P,4,1,True
0132,化,huà,H,4,1,False
0133,仇,chóu|qiú,C,4,1,True
0134,币,bì,B,4,1,False
0135,仍,réng,R,4,1,False
0136,仅,jǐn,J,4,1,False
0137,斤,jīn,J,4,1,False
0138,爪,zhǎo|zhuǎ,Z,4,1,True
0139,反,fǎn,F,4,1,False
0140,介,jiè,J,4,1,False
0141,父,fù,F,4,1,False
0142,从,cóng,C,4,1,False
0143,仑,lún,L,4,1,False
0144,今,jīn,J,4,1,False
0145,凶,xiōng,X,4,1,False
0146,分,fēn|fèn,F,4,1,True
0147,乏,fá,F,4,1,False
0148,公,gōng,G,4,1,False
0149,仓,cāng,C,4,1,False
0150,月,yuè,Y,4,1,False
0151,氏,shì|zhī,S,4,1,True
0152,勿,wù,W,4,1,False
0153,欠,qiàn,Q,4,1,False
0154,风,fēng,F,4,1,False
0155,丹,dān,D,4,1,False
0156,匀,yún,Y,4,1,False
0157,乌,wū,W,4,1,False
0158,勾,gōu|gòu,G,4,1,True
0159,凤,fèng,F,4,1,False
0160,六,liù,L,4,1,False
0161,文,wén,W,4,1,False
0162,亢,kàng,K,4,1,False
0163,方,fāng,F,4,1,False
0164,火,huǒ,H,4,1,False
0165,为,wéi|wèi,W,4,1,True
0166,斗,dǒu|dòu,D,4,1,True
0167,忆,yì,Y,4,1,False
0168,计,jì,J,4,1,False
0169,订,dìng,D,4,1,False
0170,户,hù,H,4,1,False
0171,认,rèn,R,4,1,False
0172,冗,rǒng,R,4,1,False
0173,讥,jī,J,4,1,False
0174,心,xīn,X,4,1,False
0175,尺,chě|chǐ,C,4,1,True
0176,引,yǐn,Y,4,1,False
0177,丑,chǒu,C,4,1,False
0178,巴,bā,B,4,1,False
0179,孔,kǒng,K,4,1,False
0180,队,duì,D,4,1,False
0181,办,bàn,B,4,1,False
0182,以,yǐ,Y,4,1,False
0183,允,yǔn,Y,4,1,False
0184,予,yú|yǔ,Y,4,1,True
0185,邓,dèng,D,4,1,False
0186,劝,quàn,Q,4,1,False
0187,双,shuāng,S,4,1,False
0188,书,shū,S,4,1,False
0189,幻,huàn,H,4,1,False
0190,玉,yù,Y,5,1,False
0191,刊,kān,K,5,1,False
0192,未,wèi,W,5,1,False
0193,末,mò,M,5,1,False
0194,示,shì,S,5,1,False
0195,击,jī,J,5,1,False
0196,打,dá|dǎ,D,5,1,True
0197,巧,qiǎo,Q,5,1,False
0198,正,zhēng|zhèng,Z,5,1,True
0199,扑,pū,P,5,1,False
0200,卉,huì,H,5,1,False
0201,扒,bā|pá,B,5,1,True
0202,功,gōng,G,5,1,False
0203,扔,rēng,R,5,1,False
0204,去,qù,Q,5,1,False
0205,甘,gān,G,5,1,False
0206,世,shì,S,5,1,False
0207,艾,ài|yì,À,5,1,True
0208,古,gǔ,G,5,1,False
0209,节,jiē|jié,J,5,1,True
0210,本,běn,B,5,1,False
0211,术,shù|zhú,S,5,1,True
0212,可,kě|kè,K,5,1,True
0213,丙,bǐng,B,5,1,False
0214,左,zuǒ,Z,5,1,False
0215,厉,lì,L,5,1,False
0216,石,dàn|shí,D,5,1,True
0217,右,yòu,Y,5,1,False
0218,布,bù,B,5,1,False
0219,夯,hāng,H,5,1,False
0220,戊,wù,W,5,1,False
0221,龙,lóng,L,5,1,False
0222,平,píng,P,5,1,False
0223,灭,miè,M,5,1,False
0224,轧,yà|zhá,Y,5,1,True
0225,东,dōng,D,5,1,False
0226,卡,kǎ|qiǎ,K,5,1,True
0227,北,běi,B,5,1,False
0228,占,zhān|zhàn,Z,5,1,True
0229,凸,tū,T,5,1,False
0230,卢,lú,L,5,1,False
0231,业,yè,Y,5,1,False
0232,旧,jiù,J,5,1,False
0233,帅,shuài,S,5,1,False
0234,归,guī,G,5,1,False
0235,旦,dàn,D,5,1,False
0236,目,mù,M,5,1,False
0237,且,qiě,Q,5,1,False
0238,叶,xié|yè,X,5,1,True
0239,甲,jiǎ,J,5,1,False
0240,申,shēn,S,5,1,False
0241,叮,dīng,D,5,1,False
0242,电,diàn,D,5,1,False
0243,号,háo|hào,H,5,1,True
0244,田,tián,T,5,1,False
0245,由,yóu,Y,5,1,False
0246,只,zhī|zhǐ,Z,5,1,True
0247,叭,bā,B,5,1,False
0248,史,shǐ,S,5,1,False
0249,央,yāng,Y,5,1,False
0250,兄,xiōng,X,5,1,False
0251,叽,jī,J,5,1,False
0252,叼,diāo,D,5,1,False
0253,叫,jiào,J,5,1,False
0254,叩,kòu,K,5,1,False
0255,叨,dāo|dáo|tāo,D,5,1,True
0256,另,lìng,L,5,1,False
0257,叹,tàn,T,5,1,False
0258,冉,rǎn,R,5,1,False
0259,皿,mǐn,M,5,1,False
0260,凹,āo,Ā,5,1,False
0261,囚,qiú,Q,5,1,False
0262,四,sì,S,5,1,False
0263,生,shēng,S,5,1,False
0264,矢,shǐ,S,5,1,False
0265,失,shī,S,5,1,False
0266,乍,zhà,Z,5,1,False
0267,禾,hé,H,5,1,False
0268,丘,qiū,Q,5,1,False
0269,付,fù,F,5,1,False
0270,仗,zhàng,Z,5,1,False
0271,代,dài,D,5,1,False
0272,仙,xiān,X,5,1,False
0273,们,mén|men,M,5,1,True
0274,仪,yí,Y,5,1,False
0275,白,bái,B,5,1,False
0276,仔,zǎi|zǐ,Z,5,1,True
0277,他,tā,T,5,1,False
0278,斥,chì,C,5,1,False
0279,瓜,guā,G,5,1,False
0280,乎,hū,H,5,1,False
0281,丛,cóng,C,5,1,False
0282,令,líng|lǐng|lìng,L,5,1,True
0283,用,yòng,Y,5,1,False
0284,甩,shuǎi,S,5,1,False
0285,印,yìn,Y,5,1,False
0286,尔,ěr,Ě,5,1,False
0287,乐,lè|yuè,L,5,1,True
0288,句,gōu|jù,G,5,1,True
0289,匆,cōng,C,5,1,False
0290,册,cè,C,5,1,False
0291,卯,mǎo,M,5,1,False
0292,犯,fàn,F,5,1,False
0293,外,wài,W,5,1,False
0294,处,chǔ|chù,C,5,1,True
0295,冬,dōng,D,5,1,False
0296,鸟,niǎo,N,5,1,False
0297,务,wù,W,5,1,False
0298,包,bāo,B,5,1,False
0299,饥,jī,J,5,1,False
0300,主,zhǔ,Z,5,1,False
0301,市,shì,S,5,1,False
0302,立,lì,L,5,1,False
0303,冯,féng,F,5,1,False
0304,玄,xuán,X,5,1,False
0305,闪,shǎn,S,5,1,False
0306,兰,lán,L,5,1,False
0307,半,bàn,B,5,1,False
0308,汁,zhī,Z,5,1,False
0309,汇,huì,H,5,1,False
0310,头,tóu,T,5,1,False
0311,汉,hàn,H,5,1,False
0312,宁,níng|nìng,N,5,1,True
0313,穴,xué,X,5,1,False
0314,它,tā,T,5,1,False
0315,讨,tǎo,T,5,1,False
0316,写,xiě,X,5,1,False
0317,让,ràng,R,5,1,False
0318,礼,lǐ,L,5,1,False
0319,训,xùn,X,5,1,False
0320,议,yì,Y,5,1,False
0321,必,bì,B,5,1,False
0322,讯,xùn,X,5,1,False
0323,记,jì,J,5,1,False
0324,永,yǒng,Y,5,1,False
0325,司,sī,S,5,1,False
0326,尼,ní,N,5,1,False
0327,民,mín,M,5,1,False
0328,弗,fú,F,5,1,False
0329,弘,hóng,H,5,1,False
0330,出,chū,C,5,1,False
0331,辽,liáo,L,5,1,False
0332,奶,nǎi,N,5,1,False
0333,奴,nú,N,5,1,False
0334,召,shào|zhào,S,5,1,True
0335,加,jiā,J,5,1,False
0336,皮,pí,P,5,1,False
0337,边,biān,B,5,1,False
0338,孕,yùn,Y,5,1,False
0339,发,fā|fà,F,5,1,True
0340,圣,shèng,S,5,1,False
0341,对,duì,D,5,1,False
0342,台,tāi|tái,T,5,1,True
0343,矛,máo,M,5,1,False
0344,纠,jiū,J,5,1,False
0345,母,mǔ,M,5,1,False
0346,幼,yòu,Y,5,1,False
0347,丝,sī,S,5,1,False
0348,邦,bāng,B,6,1,False
0349,式,shì,S,6,1,False
0350,迂,yū,Y,6,1,False
0351,刑,xíng,X,6,1,False
0352,戎,róng,R,6,1,False
0353,动,dòng,D,6,1,False
0354,扛,gāng|káng,G,6,1,True
0355,寺,sì,S,6,1,False
0356,吉,jí,J,6,1,False
0357,扣,kòu,K,6,1,False
0358,考,kǎo,K,6,1,False
0359,托,tuō,T,6,1,False
0360,老,lǎo,L,6,1,False
0361,巩,gǒng,G,6,1,False
0362,圾,jī,J,6,1,False
0363,执,zhí,Z,6,1,False
0364,扩,kuò,K,6,1,False
0365,扫,sǎo|sào,S,6,1,True
0366,地,de|dì,D,6,1,True
0367,场,cháng|chǎng,C,6,1,True
0368,扬,yáng,Y,6,1,False
0369,耳,ěr,Ě,6,1,False
0370,芋,yù,Y,6,1,False
0371,共,gòng,G,6,1,False
0372,芒,máng,M,6,1,False
0373,亚,yà,Y,6,1,False
0374,芝,zhī,Z,6,1,False
0375,朽,xiǔ,X,6,1,False
0376,朴,piáo|pò|pǔ,P,6,1,True
0377,机,jī,J,6,1,False
0378,权,quán,Q,6,1,False
0379,过,guō|guò,G,6,1,True
0380,臣,chén,C,6,1,False
0381,吏,lì,L,6,1,False
0382,再,zài,Z,6,1,False
0383,协,xié,X,6,1,False
0384,西,xī,X,6,1,False
0385,压,yā|yà,Y,6,1,True
0386,厌,yàn,Y,6,1,False
0387,戌,qu|xū,Q,6,1,True
0388,在,zài,Z,6,1,False
0389,百,bǎi,B,6,1,False
0390,有,yǒu,Y,6,1,False
0391,存,cún,C,6,1,False
0392,而,ér,É,6,1,False
0393,页,yè,Y,6,1,False
0394,匠,jiàng,J,6,1,False
0395,夸,kuā,K,6,1,False
0396,夺,duó,D,6,1,False
0397,灰,huī,H,6,1,False
0398,达,dá,D,6,1,False
0399,列,liè,L,6,1,False
0400,死,sǐ,S,6,1,False
0401,成,chéng,C,6,1,False
0402,夹,gā|jiā|jiá,G,6,1,True
0403,夷,yí,Y,6,1,False
0404,轨,guǐ,G,6,1,False
0405,邪,xié,X,6,1,False
0406,尧,yáo,Y,6,1,False
0407,划,huá|huà,H,6,1,True
0408,迈,mài,M,6,1,False
0409,毕,bì,B,6,1,False
0410,至,zhì,Z,6,1,False
0411,此,cǐ,C,6,1,False
0412,贞,zhēn,Z,6,1,False
0413,师,shī,S,6,1,False
0414,尘,chén,C,6,1,False
0415,尖,jiān,J,6,1,False
0416,劣,liè,L,6,1,False
0417,光,guāng,G,6,1,False
0418,当,dāng|dàng,D,6,1,True
0419,早,zǎo,Z,6,1,False
0420,吁,xū|yū|yù,X,6,1,True
0421,吐,tǔ|tù,T,6,1,True
0422,吓,hè|xià,H,6,1,True
0423,虫,chóng,C,6,1,False
0424,曲,qū|qǔ,Q,6,1,True
0425,团,tuán,T,6,1,False
0426,吕,lǚ,L,6,1,False
0427,同,tóng|tòng,T,6,1,True
0428,吊,diào,D,6,1,False
0429,吃,chī,C,6,1,False
0430,因,yīn,Y,6,1,False
0431,吸,xī,X,6,1,False
0432,吗,má|mǎ|ma,M,6,1,True
0433,吆,yāo,Y,6,1,False
0434,屿,yǔ,Y,6,1,False
0435,屹,yì,Y,6,1,False
0436,岁,suì,S,6,1,False
0437,帆,fān,F,6,1,False
0438,回,huí,H,6,1,False
0439,岂,qǐ,Q,6,1,False
0440,则,zé,Z,6,1,False
0441,刚,gāng,G,6,1,False
0442,网,wǎng,W,6,1,False
0443,肉,ròu,R,6,1,False
0444,年,nián,N,6,1,False
0445,朱,zhū,Z,6,1,False
0446,先,xiān,X,6,1,False
0447,丢,diū,D,6,1,False
0448,廷,tíng,T,6,1,False
0449,舌,shé,S,6,1,False
0450,竹,zhú,Z,6,1,False
0451,迁,qiān,Q,6,1,False
0452,乔,qiáo,Q,6,1,False
0453,迄,qì,Q,6,1,False
0454,伟,wěi,W,6,1,False
0455,传,chuán|zhuàn,C,6,1,True
0456,乒,pīng,P,6,1,False
0457,乓,pāng,P,6,1,False
0458,休,xiū,X,6,1,False
0459,伍,wǔ,W,6,1,False
0460,伏,fú,F,6,1,False
0461,优,yōu,Y,6,1,False
0462,臼,jiù,J,6,1,False
0463,伐,fá,F,6,1,False
0464,延,yán,Y,6,1,False
0465,仲,zhòng,Z,6,1,False
0466,件,jiàn,J,6,1,False
0467,任,rén|rèn,R,6,1,True
0468,伤,shāng,S,6,1,False
0469,价,jià|jie,J,6,1,True
0470,伦,lún,L,6,1,False
0471,份,fèn,F,6,1,False
0472,华,huá|huà,H,6,1,True
0473,仰,yǎng,Y,6,1,False
0474,仿,fǎng,F,6,1,False
0475,伙,huǒ,H,6,1,False
0476,伪,wěi,W,6,1,False
0477,自,zì,Z,6,1,False
0478,伊,yī,Y,6,1,False
0479,血,xiě|xuè,X,6,1,True
0480,向,xiàng,X,6,1,False
0481,似,shì|sì,S,6,1,True
0482,后,hòu,H,6,1,False
0483,行,háng|héng|xíng,H,6,1,True
0484,舟,zhōu,Z,6,1,False
0485,全,quán,Q,6,1,False
0486,会,huì|kuài,H,6,1,True
0487,杀,shā,S,6,1,False
0488,合,gě|hé,G,6,1,True
0489,兆,zhào,Z,6,1,False
0490,企,qǐ,Q,6,1,False
0491,众,zhòng,Z,6,1,False
0492,爷,yé,Y,6,1,False
0493,伞,sǎn,S,6,1,False
0494,创,chuāng|chuàng,C,6,1,True
0495,肌,jī,J,6,1,False
0496,肋,lèi,L,6,1,False
0497,朵,duǒ,D,6,1,False
0498,杂,zá,Z,6,1,False
0499,危,wēi,W,6,1,False
0500,旬,xún,X,6,1,False
0501,旨,zhǐ,Z,6,1,False
0502,旭,xù,X,6,1,False
0503,负,fù,F,6,1,False
0504,匈,xiōng,X,6,1,False
0505,名,míng,M,6,1,False
0506,各,gè,G,6,1,False
0507,多,duō,D,6,1,False
0508,争,zhēng,Z,6,1,False
0509,色,sè|shǎi,S,6,1,True
0510,壮,zhuàng,Z,6,1,False
0511,冲,chōng|chòng,C,6,1,True
0512,妆,zhuāng,Z,6,1,False
0513,冰,bīng,B,6,1,False
0514,庄,zhuāng,Z,6,1,False
0515,庆,qìng,Q,6,1,False
0516,亦,yì,Y,6,1,False
0517,刘,liú,L,6,1,False
0518,齐,qí,Q,6,1,False
0519,交,jiāo,J,6,1,False
0520,衣,yī,Y,6,1,False
0521,次,cì,C,6,1,False
0522,产,chǎn,C,6,1,False
0523,决,jué,J,6,1,False
0524,亥,hài,H,6,1,False
0525,充,chōng,C,6,1,False
0526,妄,wàng,W,6,1,False
0527,闭,bì,B,6,1,False
0528,问,wèn,W,6,1,False
0529,闯,chuǎng,C,6,1,False
0530,羊,yáng,Y,6,1,False
0531,并,bīng|bìng,B,6,1,True
0532,关,guān,G,6,1,False
0533,米,mǐ,M,6,1,False
0534,灯,dēng,D,6,1,False
0535,州,zhōu,Z,6,1,False
0536,汗,hán|hàn,H,6,1,True
0537,污,wū,W,6,1,False
0538,江,jiāng,J,6,1,False
0539,汛,xùn,X,6,1,False
0540,池,chí,C,6,1,False
0541,汝,rǔ,R,6,1,False
0542,汤,tāng,T,6,1,False
0543,忙,máng,M,6,1,False
0544,兴,xīng|xìng,X,6,1,True
0545,宇,yǔ,Y,6,1,False
0546,守,shǒu,S,6,1,False
0547,宅,zhái,Z,6,1,False
0548,字,zì,Z,6,1,False
0549,安,ān,Ā,6,1,False
0550,讲,jiǎng,J,6,1,False
0551,讳,huì,H,6,1,False
0552,军,jūn,J,6,1,False
0553,讶,yà,Y,6,1,False
0554,许,xǔ,X,6,1,False
0555,讹,é,É,6,1,False
0556,论,lún|lùn,L,6,1,True
0557,讼,sòng,S,6,1,False
0558,农,nóng,N,6,1,False
0559,讽,fěng,F,6,1,False
0560,设,shè,S,6,1,False
0561,访,fǎng,F,6,1,False
0562,诀,jué,J,6,1,False
0563,寻,xún,X,6,1,False
0564,那,nā|nà,N,6,1,True
0565,迅,xùn,X,6,1,False
0566,尽,jǐn|jìn,J,6,1,True
0567,导,dǎo,D,6,1,False
0568,异,yì,Y,6,1,False
0569,弛,chí,C,6,1,False
0570,孙,sūn,S,6,1,False
0571,阵,zhèn,Z,6,1,False
0572,阳,yáng,Y,6,1,False
0573,收,shōu,S,6,1,False
0574,阶,jiē,J,6,1,False
0575,阴,yīn,Y,6,1,False
0576,防,fáng,F,6,1,False
0577,奸,jiān,J,6,1,False
0578,如,rú,R,6,1,False
0579,妇,fù,F,6,1,False
0580,妃,fēi,F,6,1,False
0581,好,hǎo|hào,H,6,1,True
0582,她,tā,T,6,1,False
0583,妈,mā,M,6,1,False
0584,戏,xì,X,6,1,False
0585,羽,yǔ,Y,6,1,False
0586,观,guān|guàn,G,6,1,True
0587,欢,huān,H,6,1,False
0588,买,mǎi,M,6,1,False
0589,红,hóng,H,6,1,False
0590,驮,duò|tuó,D,6,1,True
0591,纤,qiàn|xiān,Q,6,1,True
0592,驯,xùn,X,6,1,False
0593,约,yāo|yuē,Y,6,1,True
0594,级,jí,J,6,1,False
0595,纪,jǐ|jì,J,6,1,True
0596,驰,chí,C,6,1,False
0597,纫,rèn,R,6,1,False
0598,巡,xún,X,6,1,False
0599,寿,shòu,S,7,1,False
0600,弄,lòng|nòng,L,7,1,True
0601,麦,mài,M,7,1,False
0602,玖,jiǔ,J,7,1,False
0603,玛,mǎ,M,7,1,False
0604,形,xíng,X,7,1,False
0605,进,jìn,J,7,1,False
0606,戒,jiè,J,7,1,False
0607,吞,tūn,T,7,1,False
0608,远,yuǎn,Y,7,1,False
0609,违,wéi,W,7,1,False
0610,韧,rèn,R,7,1,False
0611,运,yùn,Y,7,1,False
0612,扶,fú,F,7,1,False
0613,抚,fǔ,F,7,1,False
0614,坛,tán,T,7,1,False
0615,技,jì,J,7,1,False
0616,坏,huài,H,7,1,False
0617,抠,kōu,K,7,1,False
0618,扰,rǎo,R,7,1,False
0619,扼,è,È,7,1,False
0620,拒,jù,J,7,1,False
0621,找,zhǎo,Z,7,1,False
0622,批,pī,P,7,1,False
0623,址,zhǐ,Z,7,1,False
0624,扯,chě,C,7,1,False
0625,走,zǒu,Z,7,1,False
0626,抄,chāo,C,7,1,False
0627,贡,gòng,G,7,1,False
0628,汞,gǒng,G,7,1,False
0629,坝,bà,B,7,1,False
0630,攻,gōng,G,7,1,False
0631,赤,chì,C,7,1,False
0632,折,shé|zhē|zhé,S,7,1,True
0633,抓,zhuā,Z,7,1,False
0634,扳,bān,B,7,1,False
0635,抡,lūn,L,7,1,False
0636,扮,bàn,B,7,1,False
0637,抢,qiāng|qiǎng,Q,7,1,True
0638,孝,xiào,X,7,1,False
0639,坎,kǎn,K,7,1,False
0640,均,jūn,J,7,1,False
0641,抑,yì,Y,7,1,False
0642,抛,pāo,P,7,1,False
0643,投,tóu,T,7,1,False
0644,坟,fén,F,7,1,False
0645,坑,kēng,K,7,1,False
0646,抗,kàng,K,7,1,False
0647,坊,fāng|fáng,F,7,1,True
0648,抖,dǒu,D,7,1,False
0649,护,hù,H,7,1,False
0650,壳,ké|qiào,K,7,1,True
0651,志,zhì,Z,7,1,False
0652,块,kuài,K,7,1,False
0653,扭,niǔ,N,7,1,False
0654,声,shēng,S,7,1,False
0655,把,bǎ|bà,B,7,1,True
0656,报,bào,B,7,1,False
0657,拟,nǐ,N,7,1,False
0658,却,què,Q,7,1,False
0659,抒,shū,S,7,1,False
0660,劫,jié,J,7,1,False
0661,芙,fú,F,7,1,False
0662,芜,wú,W,7,1,False
0663,苇,wěi,W,7,1,False
0664,芽,yá,Y,7,1,False
0665,花,huā,H,7,1,False
0666,芹,qín,Q,7,1,False
0667,芥,gài|jiè,G,7,1,True
0668,芬,fēn,F,7,1,False
0669,苍,cāng,C,7,1,False
0670,芳,fāng,F,7,1,False
0671,严,yán,Y,7,1,False
0672,芦,lú|lǔ,L,7,1,True
0673,芯,xīn|xìn,X,7,1,True
0674,劳,láo,L,7,1,False
0675,克,kè,K,7,1,False
0676,芭,bā,B,7,1,False
0677,苏,sū,S,7,1,False
0678,杆,gān|gǎn,G,7,1,True
0679,杠,gàng,G,7,1,False
0680,杜,dù,D,7,1,False
0681,材,cái,C,7,1,False
0682,村,cūn,C,7,1,False
0683,杖,zhàng,Z,7,1,False
0684,杏,xìng,X,7,1,False
0685,杉,shā|shān,S,7,1,True
0686,巫,wū,W,7,1,False
0687,极,jí,J,7,1,False
0688,李,lǐ,L,7,1,False
0689,杨,yáng,Y,7,1,False
0690,求,qiú,Q,7,1,False
0691,甫,fǔ,F,7,1,False
0692,匣,xiá,X,7,1,False
0693,更,gēng|gèng,G,7,1,True
0694,束,shù,S,7,1,False
0695,吾,wú,W,7,1,False
0696,豆,dòu,D,7,1,False
0697,两,liǎng,L,7,1,False
0698,酉,yǒu,Y,7,1,False
0699,丽,lí|lì,L,7,1,True
0700,医,yī,Y,7,1,False
0701,辰,chén,C,7,1,False
0702,励,lì,L,7,1,False
0703,否,fǒu|pǐ,F,7,1,True
0704,还,hái|huán,H,7,1,True
0705,尬,gà,G,7,1,False
0706,歼,jiān,J,7,1,False
0707,来,lái,L,7,1,False
0708,连,lián,L,7,1,False
0709,轩,xuān,X,7,1,False
0710,步,bù,B,7,1,False
0711,卤,lǔ,L,7,1,False
0712,坚,jiān,J,7,1,False
0713,肖,xiāo|xiào,X,7,1,True
0714,旱,hàn,H,7,1,False
0715,盯,dīng,D,7,1,False
0716,呈,chéng,C,7,1,False
0717,时,shí,S,7,1,False
0718,吴,wú,W,7,1,False
0719,助,zhù,Z,7,1,False
0720,县,xiàn,X,7,1,False
0721,里,lǐ,L,7,1,False
0722,呆,dāi,D,7,1,False
0723,吱,zhī|zī,Z,7,1,True
0724,吠,fèi,F,7,1,False
0725,呕,ǒu,Ǒ,7,1,False
0726,园,yuán,Y,7,1,False
0727,旷,kuàng,K,7,1,False
0728,围,wéi,W,7,1,False
0729,呀,yā|ya,Y,7,1,True
0730,吨,dūn,D,7,1,False
0731,足,zú,Z,7,1,False
0732,邮,yóu,Y,7,1,False
0733,男,nán,N,7,1,False
0734,困,kùn,K,7,1,False
0735,吵,chāo|chǎo,C,7,1,True
0736,串,chuàn,C,7,1,False
0737,员,yuán|yùn,Y,7,1,True
0738,呐,nà,N,7,1,False
0739,听,tīng,T,7,1,False
0740,吟,yín,Y,7,1,False
0741,吩,fēn,F,7,1,False
0742,呛,qiāng|qiàng,Q,7,1,True
0743,吻,wěn,W,7,1,False
0744,吹,chuī,C,7,1,False
0745,呜,wū,W,7,1,False
0746,吭,háng|kēng,H,7,1,True
0747,吧,bā|ba,B,7,1,True
0748,邑,yì,Y,7,1,False
0749,吼,hǒu,H,7,1,False
0750,囤,dùn|tún,D,7,1,True
0751,别,bié|biè,B,7,1,True
0752,吮,shǔn,S,7,1,False
0753,岖,qū,Q,7,1,False
0754,岗,gāng|gǎng,G,7,1,True
0755,帐,zhàng,Z,7,1,False
0756,财,cái,C,7,1,False
0757,针,zhēn,Z,7,1,False
0758,钉,dīng|dìng,D,7,1,True
0759,牡,mǔ,M,7,1,False
0760,告,gào,G,7,1,False
0761,我,wǒ,W,7,1,False
0762,乱,luàn,L,7,1,False
0763,利,lì,L,7,1,False
0764,秃,tū,T,7,1,False
