id,char,pinyin,initial,strokes,level,polyphonic
7498,楩,pián,P,13,3,False
7499,榇,chèn,C,13,3,False
7500,椸,yí,Y,13,3,False
7501,楙,mào,M,13,3,False
7502,歅,yīn,Y,13,3,False
7503,𬪩,nóng,N,13,3,False
7504,碃,qìng,Q,13,3,False
7505,碏,què,Q,13,3,False
7506,𬒔,gěng,G,13,3,False
7507,碈,hūn,H,13,3,False
7508,䃅,dī,D,13,3,False
7509,硿,kòng,K,13,3,False
7510,鄠,hù,H,13,3,False
7511,辒,wēn,W,13,3,False
7512,𬨎,yóu,Y,13,3,False
7513,𫐓,róu,R,13,3,False
7514,龆,tiáo,T,13,3,False
7515,觜,zī,Z,13,3,False
7516,䣘,táng,T,14,3,False
7517,暕,jiǎn,J,13,3,False
7518,鹍,kūn,K,13,3,False
7519,𫫇,è,È,13,3,False
7520,㬊,huǎn,H,13,3,False
7521,暅,gèng,G,13,3,False
7522,跱,zhì,Z,13,3,False
7523,蜐,jié,J,13,3,False
7524,蜎,yuān,Y,13,3,False
7525,嵲,niè,N,13,3,False
7526,赗,fèng,F,13,3,False
7527,骱,jiè,J,13,3,False
7528,锖,qiāng,Q,13,3,False
7529,𫓹,jī,J,13,3,False
7530,锘,nuò,N,13,3,False
7531,锳,yīng,Y,13,3,False
7532,锧,zhì,Z,13,3,False
7533,锪,huō,H,13,3,False
7534,𬭚,chún,C,13,3,False
7535,锫,péi,P,13,3,False
7536,锬,tán,T,13,3,False
7537,𬭛,bō,B,13,3,False
7538,稑,lù,L,13,3,False
7539,稙,zhī,Z,13,3,False
7540,䅟,cǎn,C,13,3,False
7541,𬕂,lǒng,L,13,3,False
7542,筻,gàng,G,13,3,False
7543,筼,yún,Y,13,3,False
7544,筶,gào,G,13,3,False
7545,筦,guǎn,G,13,3,False
7546,筤,láng,L,13,3,False
7547,傺,chì,C,13,3,False
7548,鹎,bēi,B,13,3,False
7549,僇,lù,L,13,3,False
7550,艅,yú,Y,13,3,False
7551,艉,wěi,W,13,3,False
7552,谼,hóng,H,13,3,False
7553,貆,huán,H,13,3,False
7554,腽,wà,W,13,3,False
7555,腨,shuàn,S,13,3,False
7556,腯,tú,T,13,3,False
7557,鲉,yóu,Y,13,3,False
7558,鲊,zhǎ,Z,13,3,False
7559,鲌,bó,B,13,3,False
7560,䲟,yìn,Y,16,3,False
7561,𬶋,jū,J,13,3,False
7562,𬶍,tuó,T,13,3,False
7563,鲏,pí,P,13,3,False
7564,雊,gòu,G,13,3,False
7565,猺,yáo,Y,13,3,False
7566,飔,sī,S,13,3,False
7567,觟,huà,H,13,3,False
7568,𦝼,lóu|lǘ,L,13,3,True
7569,馌,yè,Y,13,3,False
7570,裛,yì,Y,13,3,False
7571,廒,áo,Á,13,3,False
7572,瘀,yū,Y,13,3,False
7573,瘅,dān|dàn,D,13,3,True
7574,鄘,yōng,Y,13,3,False
7575,鹒,gēng,G,13,3,False
7576,鄜,fū,F,13,3,False
7577,麀,yōu,Y,13,3,False
7578,鄣,zhāng,Z,13,3,False
7579,阘,tà,T,13,3,False
7580,𫔶,niè,N,13,3,False
7581,煁,chén,C,13,3,False
7582,煃,kuǐ,K,13,3,False
7583,煴,yūn,Y,13,3,False
7584,煋,xīng,X,13,3,False
7585,煟,wèi,W,13,3,False
7586,煓,tuān,T,13,3,False
7587,滠,shè,S,13,3,False
7588,溍,jìn,J,13,3,False
7589,溹,suǒ,S,13,3,False
7590,滆,gé,G,13,3,False
7591,滉,huàng,H,13,3,False
7592,溦,wēi,W,13,3,False
7593,溵,yīn,Y,13,3,False
7594,漷,huǒ,H,13,3,False
7595,滧,xiào,X,13,3,False
7596,滘,jiào,J,13,3,False
7597,滍,zhì,Z,13,3,False
7598,愭,qí,Q,13,3,False
7599,慥,zào,Z,13,3,False
7600,慆,tāo,T,13,3,False
7601,塱,lǎng,L,13,3,False
7602,𫌀,jī,J,13,3,False
7603,裼,tì|xī,T,13,3,True
7604,禋,yīn,Y,13,3,False
7605,禔,zhī,Z,13,3,False
7606,禘,dì,D,13,3,False
7607,禒,xiǎn,X,13,3,False
7608,谫,jiǎn,J,13,3,False
7609,鹔,sù,S,13,3,False
7610,𫖳,yūn,Y,13,3,False
7611,愍,mǐn,M,13,3,False
7612,嫄,yuán,Y,13,3,False
7613,媱,yáo,Y,13,3,False
7614,戤,gài,G,13,3,False
7615,勠,lù,L,13,3,False
